journal,title,year,t,method,top5,top3
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,1.5,IV,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,1.3214285714285714,IV,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,1.9375,IV,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,1.0080645161290325,IV,0,0
Review of Economics and Statistics,"APPROXIMATING EXOGENOUS VARIATION IN R&D:
EVIDENCE FROM THE KENTUCKY AND NORTH CAROLINA
SBIR STATE MATCH PROGRAMS",2018,1.6842105263157896,DID,0,0
Review of Economics and Statistics,"APPROXIMATING EXOGENOUS VARIATION IN R&D:
EVIDENCE FROM THE KENTUCKY AND NORTH CAROLINA
SBIR STATE MATCH PROGRAMS",2018,1.9342105263157896,DID,0,0
Review of Economics and Statistics,"APPROXIMATING EXOGENOUS VARIATION IN R&D:
EVIDENCE FROM THE KENTUCKY AND NORTH CAROLINA
SBIR STATE MATCH PROGRAMS",2018,2.4035874439461886,DID,0,0
Review of Economics and Statistics,"APPROXIMATING EXOGENOUS VARIATION IN R&D:
EVIDENCE FROM THE KENTUCKY AND NORTH CAROLINA
SBIR STATE MATCH PROGRAMS",2018,2.2142857142857144,DID,0,0
Review of Economics and Statistics,"APPROXIMATING EXOGENOUS VARIATION IN R&D:
EVIDENCE FROM THE KENTUCKY AND NORTH CAROLINA
SBIR STATE MATCH PROGRAMS",2018,1,DID,0,0
Review of Economics and Statistics,"APPROXIMATING EXOGENOUS VARIATION IN R&D:
EVIDENCE FROM THE KENTUCKY AND NORTH CAROLINA
SBIR STATE MATCH PROGRAMS",2018,2.111111111111111,DID,0,0
Review of Economics and Statistics,"APPROXIMATING EXOGENOUS VARIATION IN R&D:
EVIDENCE FROM THE KENTUCKY AND NORTH CAROLINA
SBIR STATE MATCH PROGRAMS",2018,1.9296875,DID,0,0
Review of Economics and Statistics,"APPROXIMATING EXOGENOUS VARIATION IN R&D:
EVIDENCE FROM THE KENTUCKY AND NORTH CAROLINA
SBIR STATE MATCH PROGRAMS",2018,1.7058823529411764,DID,0,0
Economic Journal,"ARE SUPERMARKETS SQUEEZING SMALL SUPPLIERS?
EVIDENCE FROM NEGOTIATED WHOLESALE PRICES*",2018,34.5,IV,0,0
Economic Journal,"ARE SUPERMARKETS SQUEEZING SMALL SUPPLIERS?
EVIDENCE FROM NEGOTIATED WHOLESALE PRICES*",2018,73.11111111111111,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,3.0923076923076924,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,2.4558823529411766,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,2.5244755244755246,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,1.4067796610169494,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,2.5324675324675328,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,2.943502824858758,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,1.2117647058823529,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,3.8515625,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,1.3944954128440368,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,0.10434782608695652,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,3.7474747474747474,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,0.7647058823529411,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,0.31707317073170727,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,1.12624584717608,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,1.7755102040816324,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,3.5029585798816565,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,2.2578125,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,0.8888888888888888,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,0.9627659574468084,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,1.1916666666666669,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,3.2880434782608696,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,3.21,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,2.0989583333333335,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,4.576,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,1.5416666666666667,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,2.1,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,2.456,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,2.6484375,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,0.945945945945946,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,0.3779904306220096,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,0.8387096774193548,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,3.169811320754717,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,2.4423076923076925,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,2.183206106870229,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,1.933774834437086,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,3.953846153846154,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,1.0970873786407769,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,2.607954545454546,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,3.1913043478260867,IV,0,0
Review of Economics and Statistics,ARE U.S. CITIES UNDERPOLICED? THEORY AND EVIDENCE,2018,3.9659863945578233,IV,0,0
Journal of Development Economics,"Abolishing user fees, fertility choice, and educational attainment?",2018,2.63302752293578,DID,0,0
Journal of Development Economics,"Abolishing user fees, fertility choice, and educational attainment?",2018,2.465686274509804,DID,0,0
Journal of Development Economics,"Abolishing user fees, fertility choice, and educational attainment?",2018,2.5327868852459017,DID,0,0
Journal of Development Economics,"Abolishing user fees, fertility choice, and educational attainment?",2018,2.36697247706422,DID,0,0
Journal of Development Economics,"Abolishing user fees, fertility choice, and educational attainment?",2018,2.1928571428571426,DID,0,0
Journal of Development Economics,"Abolishing user fees, fertility choice, and educational attainment?",2018,2.0425531914893615,DID,0,0
AEJ: Applied Economics,"Academic Peer Effects with Different Group Assignment
Policies: Residential Tracking versus Random Assignment",2018,1.8356164383561648,DID,0,0
AEJ: Applied Economics,"Academic Peer Effects with Different Group Assignment
Policies: Residential Tracking versus Random Assignment",2018,2.525,DID,0,0
AEJ: Applied Economics,"Academic Peer Effects with Different Group Assignment
Policies: Residential Tracking versus Random Assignment",2018,2.174603174603175,DID,0,0
AEJ: Applied Economics,"Academic Peer Effects with Different Group Assignment
Policies: Residential Tracking versus Random Assignment",2018,2.6590909090909096,DID,0,0
AEJ: Applied Economics,"Academic Peer Effects with Different Group Assignment
Policies: Residential Tracking versus Random Assignment",2018,1.953125,DID,0,0
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,4.230769230769231,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,0.75,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,4.608695652173913,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,1.357142857142857,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,3.9565217391304346,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,2.4615384615384617,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,2.857142857142857,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,1.7307692307692308,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,1.3333333333333333,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,4.035714285714286,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,3.5599999999999996,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,1.2941176470588234,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,2.7272727272727275,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,3.818181818181818,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,2.7272727272727275,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,1.031746031746032,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,1.32,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,0.3333333333333333,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,1.8823529411764703,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,1.4117647058823528,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,1.3088235294117645,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,1,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,1.1904761904761905,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,4.375,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,1.7333333333333334,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,2.564516129032258,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,3.411764705882353,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,6,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,1.1521739130434785,DID,1,1
American Economic Review,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,2.3846153846153846,DID,1,1
Journal of Economic Growth,"Agricultural productivity and economic development:
the contribution of clover to structural transformation
in Denmark",2018,2.08,IV,0,0
Journal of Economic Growth,"Agricultural productivity and economic development:
the contribution of clover to structural transformation
in Denmark",2018,0.94,DID,0,0
Journal of Economic Growth,"Agricultural productivity and economic development:
the contribution of clover to structural transformation
in Denmark",2018,2.08,IV,0,0
Journal of Economic Growth,"Agricultural productivity and economic development:
the contribution of clover to structural transformation
in Denmark",2018,2,IV,0,0
Journal of Economic Growth,"Agricultural productivity and economic development:
the contribution of clover to structural transformation
in Denmark",2018,1.79,DID,0,0
Journal of Economic Growth,"Agricultural productivity and economic development:
the contribution of clover to structural transformation
in Denmark",2018,0.06,DID,0,0
Journal of Economic Growth,"Agricultural productivity and economic development:
the contribution of clover to structural transformation
in Denmark",2018,1.79,DID,0,0
Journal of Economic Growth,"Agricultural productivity and economic development:
the contribution of clover to structural transformation
in Denmark",2018,2.08,DID,0,0
Journal of Economic Growth,"Agricultural productivity and economic development:
the contribution of clover to structural transformation
in Denmark",2018,2.16,IV,0,0
Journal of Development Economics,"Agricultural productivity and the sectoral reallocation of labor in rural
India?",2018,3.611111111111112,IV,0,0
Journal of Development Economics,"Agricultural productivity and the sectoral reallocation of labor in rural
India?",2018,2.226666666666667,IV,0,0
Journal of Development Economics,"Agricultural productivity and the sectoral reallocation of labor in rural
India?",2018,2.652830188679245,IV,0,0
Journal of Development Economics,"Agricultural productivity and the sectoral reallocation of labor in rural
India?",2018,2.441176470588235,IV,0,0
Journal of Development Economics,Aid and growth: evidence from firm-level data,2018,2.090634441087613,IV,0,0
Journal of Development Economics,Aid and growth: evidence from firm-level data,2018,2.090634441087613,IV,0,0
Journal of Development Economics,Aid and growth: evidence from firm-level data,2018,2.0418375717801474,IV,0,0
Journal of Development Economics,Aid and growth: evidence from firm-level data,2018,1.8361230050603343,IV,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,3.1999999999999997,IV,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,4.9411764705882355,IV,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,6.4444444444444455,IV,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,1.9510022271714924,IV,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,3.60625,IV,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,1.75,IV,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,4.125,DID,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,7.234782608695651,IV,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,2.8461538461538463,IV,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,4.3125,IV,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,7.333333333333334,DID,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,3.5714285714285716,DID,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,2.5483870967741935,IV,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,4.88235294117647,IV,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,4.04,IV,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,10.8,DID,0,0
Journal of Urban Economics,Air service and urban growth: Evidence from a quasi-natural policy experiment,2015,5.571428571428571,DID,0,0
